Time,Offset
1921-04-01 05:48:52,-06:00
1987-05-03 06:00:00,-05:00
1987-09-27 05:00:00,-06:00
1988-05-01 06:00:00,-05:00
1988-09-25 05:00:00,-06:00
2006-05-07 06:00:00,-05:00
2006-08-07 05:00:00,-06:00
